,id,address_v4,address_v6,asn_v4,asn_v6,prefix_v4,prefix_v6,is_anchor,is_public,status,status_since,first_connected,total_uptime,tags,country_code,latitude,longitude,day,probe,status_name,metro_area
6407,6407,107.162.223.5,2604:e180:de08::5,55002,55002,107.162.223.0/24,2604:e180:de08::/48,True,True,1,1629174799,1540283146,90009660,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-ipv4-works', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv6-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'native-ipv4', 'system-anchor', 'multihomed', 'ipv6', 'ipv4', 'dual-stack', 'native-ipv6', 'no-nat', 'core']",US,47.6205,-122.3625,20210906,https://atlas.ripe.net/api/v2/probes/6407/,Connected,Seattle
6408,6408,104.225.102.122,2607:f740:15:22::2,36236,36236,104.225.102.0/24,2607:f740:15::/48,True,True,1,1628229131,1540542312,90409534,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-anchor']",US,33.4215,-112.0125,20210906,https://atlas.ripe.net/api/v2/probes/6408/,Connected,Phoenix
6409,6409,104.225.15.170,2607:f740:100:102::2,36236,36236,104.225.15.0/24,2607:f740:100::/48,True,True,1,1630978258,1540628438,90310531,"['system-ipv6-stable-90d', 'system-ipv6-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-doesnt-work', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,32.8415,-96.8825,20210906,https://atlas.ripe.net/api/v2/probes/6409/,Connected,Dallas
6411,6411,107.162.217.5,2604:e180:de02::5,55002,55002,107.162.217.0/24,2604:e180:de02::/48,True,True,1,1623830196,1541665430,89249710,"['system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-anchor']",US,37.2375,-121.7825,20210906,https://atlas.ripe.net/api/v2/probes/6411/,Connected,San Jose
6418,6418,216.37.47.154,2607:f4d0:800:4::2,17054,17054,216.37.0.0/18,2607:f4d0:800::/40,True,True,1,1623745268,1542633709,88336606,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.9615,-86.1525,20210906,https://atlas.ripe.net/api/v2/probes/6418/,Connected,Carmel
6421,6421,209.198.8.120,2604:5040:1:48::2,20150,20150,209.198.8.0/24,2604:5040::/32,True,True,2,1626377623,1543047782,80065645,"['system-dns-problem-suspected', 'system-ipv6-capable', 'system-virtual', 'system-ipv4-capable', 'system-anchor']",US,34.0475,-118.2615,20210906,https://atlas.ripe.net/api/v2/probes/6421/,Disconnected,Los Angeles
6422,6422,216.126.230.30,2604:4cc0:aa::2,20150,20150,216.126.230.0/24,2604:4cc0::/32,True,True,2,1626986779,1543134051,81551351,"['system-dns-problem-suspected', 'system-ipv6-capable', 'system-virtual', 'system-ipv4-capable', 'system-anchor', 'ipv6', 'ipv4', 'dual-stack', 'native-ipv6', 'datacentre', 'fibre']",US,34.0485,-118.2615,20210906,https://atlas.ripe.net/api/v2/probes/6422/,Disconnected,Los Angeles
6428,6428,208.73.138.12,2620:a8:c000:19::12,32425,32425,208.73.136.0/21,2620:a8:c000::/48,True,True,1,1630387746,1543652551,87228933,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-ipv6-stable-90d', 'system-ipv6-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,37.7015,-77.4415,20210906,https://atlas.ripe.net/api/v2/probes/6428/,Connected,
6434,6434,45.77.211.82,2001:19f0:8001:946:5400:1ff:fec7:2166,20473,20473,45.77.208.0/21,2001:19f0:8000::/38,True,True,1,1625059856,1544170907,86599231,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor', 'datacentre']",US,47.6095,-122.3415,20210906,https://atlas.ripe.net/api/v2/probes/6434/,Connected,Seattle
6436,6436,207.246.88.250,2001:19f0:5:eb7:5400:1ff:fec6:ca71,20473,20473,207.246.80.0/20,2001:19f0::/38,True,True,1,1620890330,1544430090,86537470,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor', 'datacentre']",US,40.5605,-74.4815,20210906,https://atlas.ripe.net/api/v2/probes/6436/,Connected,Piscataway Township
6437,6437,207.148.2.169,2001:19f0:6401:1e7d:5400:1ff:fec7:243f,20473,20473,207.148.0.0/21,2001:19f0:6400::/38,True,True,1,1623745345,1544516504,72047910,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,32.7905,-96.7915,20210906,https://atlas.ripe.net/api/v2/probes/6437/,Connected,Dallas
6452,6452,207.246.74.246,2001:19f0:9002:1184:5400:1ff:fecb:ec65,20473,20473,207.246.64.0/20,2001:19f0:9000::/38,True,True,1,1626294436,1545314428,74840698,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,25.7985,-80.2305,20210906,https://atlas.ripe.net/api/v2/probes/6452/,Connected,Miami
6454,6454,144.202.18.114,2001:19f0:5401:16bb:5400:1ff:fecb:ec5f,20473,20473,144.202.16.0/20,2001:19f0:5400::/38,True,True,1,1623745461,1545318077,85564989,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,33.7795,-84.4205,20210906,https://atlas.ripe.net/api/v2/probes/6454/,Connected,Atlanta
6479,6479,37.10.42.14,2a01:5043:efd::3,202196,202196,37.10.42.0/24,2a01:5043:efd::/48,True,True,1,1628342550,1547648528,59362640,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.0115,-77.4595,20210906,https://atlas.ripe.net/api/v2/probes/6479/,Connected,Ashburn
6480,6480,23.131.160.206,2620:138:5000:1003::206,13925,13925,23.131.160.0/24,2620:138:5000::/44,True,True,1,1630978237,1547727982,83220068,"['system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-virtual', 'system-ipv6-capable', 'system-anchor']",US,37.4675,-121.9185,20210906,https://atlas.ripe.net/api/v2/probes/6480/,Connected,Fremont
6482,6482,204.87.183.13,2607:7c80:54:6::13,7247,7247,204.87.183.0/24,2607:7c80:54::/48,True,True,1,1630978211,1547821293,78070254,"['system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,37.4685,-121.9185,20210906,https://atlas.ripe.net/api/v2/probes/6482/,Connected,Fremont
6492,6492,149.20.162.6,,21699,,149.20.162.0/24,,True,True,1,1624367078,1548937463,81936845,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-virtual', 'system-ipv4-capable', 'system-anchor', 'multihomed', 'ipv4', 'datacentre']",US,34.0485,-118.2585,20210906,https://atlas.ripe.net/api/v2/probes/6492/,Connected,Los Angeles
6497,6497,199.168.88.229,2606:700:1f:212::c7a8:58e5,54054,54054,199.168.88.0/22,2606:700::/32,True,True,2,1626713681,1549470080,51997952,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.0405,-77.4885,20210906,https://atlas.ripe.net/api/v2/probes/6497/,Disconnected,Ashburn
6517,6517,199.119.65.55,2a0b:4342:1a31:3ff::,57695,57695,199.119.65.0/24,2a0b:4342:1a31::/48,True,True,1,1620139006,1552933433,77994641,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-ipv4-stable-1d', 'system-ipv6-capable', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-virtual', 'system-ipv4-capable', 'system-anchor']",US,39.0205,-77.4625,20210906,https://atlas.ripe.net/api/v2/probes/6517/,Connected,Ashburn
6524,6524,107.162.216.5,2604:e180:de01::5,55002,55002,107.162.216.0/24,2604:e180:de01::/48,True,True,1,1624108433,1553559919,77381671,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-ipv6-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.0195,-77.4615,20210906,https://atlas.ripe.net/api/v2/probes/6524/,Connected,Ashburn
6525,6525,171.67.70.16,2607:f6d0:ec50:100::16,32,32,171.64.0.0/14,2607:f6d0::/32,True,True,1,1630978232,1553588469,75773659,"['system-ipv6-stable-1d', 'system-ipv4-stable-30d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-90d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,37.4295,-122.1715,20210906,https://atlas.ripe.net/api/v2/probes/6525/,Connected,
6549,6549,152.195.68.35,2606:2800:4262:c::a,15133,15133,152.195.68.0/24,2606:2800:4262::/48,True,True,1,1617871804,1557836634,73077548,"['system-ipv6-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-1d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,40.7115,-74.0105,20210906,https://atlas.ripe.net/api/v2/probes/6549/,Connected,City of New York
6557,6557,185.57.190.200,2a04:de40:c0::200,201971,201971,185.57.190.0/24,2a04:de40:c0::/48,True,True,1,1628622349,1559312770,71610754,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv6-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-virtual', 'system-ipv6-capable', 'native-ipv4', 'system-anchor', 'native-ipv6', 'no-nat', 'datacentre', 'fibre']",US,42.8905,-78.8805,20210906,https://atlas.ripe.net/api/v2/probes/6557/,Connected,Buffalo
6565,6565,192.5.203.212,2620:c6:0:fe02:192:5:203:212,63056,63056,192.5.203.0/24,2620:c6::/48,True,True,1,1630978191,1560486905,70436745,"['system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-30d', 'system-ipv6-stable-90d', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,40.4595,-87.6595,20210906,https://atlas.ripe.net/api/v2/probes/6565/,Connected,Hoopeston
6570,6570,104.15.24.50,2600:1700:2630:35f0:e41a:870b:58ee:1738,7018,7018,104.0.0.0/12,2600:1700::/28,True,True,3,1606166383,1561660834,44346110,"['system-dns-problem-suspected', 'system-v3-pc-engines', 'att-2', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor', 'ipv6', 'ipv4', 'dual-stack', 'home', 'fibre']",US,35.7875,-78.4895,20210906,https://atlas.ripe.net/api/v2/probes/6570/,Abandoned,Knightdale
6572,6572,152.195.80.35,2606:2800:4226:c::a,15133,15133,152.195.80.0/24,2606:2800:4226::/48,True,True,1,1623745470,1562156441,68088196,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-anchor']",US,33.7485,-84.3895,20210906,https://atlas.ripe.net/api/v2/probes/6572/,Connected,Atlanta
6574,6574,162.255.145.7,,40809,,162.255.145.0/24,,True,True,1,1617170451,1562343781,68632029,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-virtual', 'system-ipv4-capable', 'system-anchor']",US,40.7795,-74.0695,20210906,https://atlas.ripe.net/api/v2/probes/6574/,Connected,Secaucus
6613,6613,34.68.239.153,,15169,,34.68.0.0/14,,True,True,1,1626083743,1569925443,60918676,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-stable-1d', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'us-central1-a', 'gcp', 'system-virtual', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-anchor']",US,41.2585,-95.8625,20210906,https://atlas.ripe.net/api/v2/probes/6613/,Connected,Council Bluffs
