,id,address_v4,address_v6,asn_v4,asn_v6,prefix_v4,prefix_v6,is_anchor,is_public,status,status_since,first_connected,total_uptime,tags,country_code,latitude,longitude,day,probe,status_name,metro_area
6122,6122,74.120.190.250,2620:11a:e000:74:120:190:250:0,22300,22300,74.120.190.0/24,2620:11a:e000::/48,True,True,3,1536476935,1430394341,105923713,"['system-anchor', 'system-v2-soekris', 'system-dns-problem-suspected', 'system-ipv6-capable', 'system-ipv4-capable', 'native-ipv4', 'he', 'ipv6', 'ipv4', 'native-ipv6', 'no-nat', 'datacentre']",US,37.3285,-121.8915,20210906,https://atlas.ripe.net/api/v2/probes/6122/,Abandoned,San Jose
6125,6125,192.0.33.157,2620:0:2d0:203::157,40528,40528,192.0.32.0/22,2620:0:2d0::/48,True,True,2,1629307254,1431943311,197182357,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,33.9195,-118.4015,20210906,https://atlas.ripe.net/api/v2/probes/6125/,Disconnected,El Segundo
6127,6127,148.100.32.102,2620:91:0:600::102,6124,6124,148.100.0.0/16,2620:91::/48,True,True,3,1540004409,1432207848,107638564,"['system-anchor', 'system-v2-soekris', 'system-dns-problem-suspected', 'nysernet', 'internet2', 'system-ipv6-capable', 'system-ipv4-capable', 'multihomed', 'ipv6', 'ipv4', 'native-ipv6', 'no-nat', 'academic', 'core', 'datacentre']",US,41.7205,-73.9315,20210906,https://atlas.ripe.net/api/v2/probes/6127/,Abandoned,Fairview
6130,6130,192.0.46.157,2620:0:2830:203::157,16876,16876,192.0.44.0/22,2620:0:2830::/48,True,True,1,1628560311,1432716313,198107815,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,38.9475,-77.3715,20210906,https://atlas.ripe.net/api/v2/probes/6130/,Connected,Reston
6140,6140,199.115.158.230,2001:500:a6:500::230,393246,393246,199.115.158.0/24,2001:500:a6::/48,True,True,3,1611486727,1439375442,151289904,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor', 'ipv6', 'ipv4', 'datacentre']",US,39.0175,-77.4605,20210906,https://atlas.ripe.net/api/v2/probes/6140/,Abandoned,Ashburn
6144,6144,185.28.222.65,2a01:5040:2000:30::e,43996,43996,185.28.222.0/24,2a01:5040:2000::/48,True,True,3,1618864845,1441628606,176784869,"['system-dns-problem-suspected', 'system-ipv4-capable', 'system-v2-soekris', 'system-ipv6-capable', 'system-anchor']",US,39.0395,-77.4905,20210906,https://atlas.ripe.net/api/v2/probes/6144/,Abandoned,Ashburn
6147,6147,65.22.12.230,2a01:8840:c:500::230,33280,33280,65.22.12.0/24,2a01:8840:c::/48,True,True,3,1574965638,1441806293,123435464,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,25.7805,-80.1905,20210906,https://atlas.ripe.net/api/v2/probes/6147/,Abandoned,Miami
6155,6155,108.59.15.3,2604:9a00:2100:1:3::300,30633,30633,108.59.0.0/20,2604:9a00::/32,True,True,3,1567255247,1445852704,121360922,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,38.8995,-77.0205,20210906,https://atlas.ripe.net/api/v2/probes/6155/,Abandoned,Washington
6156,6156,209.58.135.163,2605:fe80:2100:0:3::300,7203,7203,209.58.128.0/20,2605:fe80::/32,True,True,3,1589793654,1445951055,143710120,"['system-anchor', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,37.7705,-122.4205,20210906,https://atlas.ripe.net/api/v2/probes/6156/,Abandoned,San Francisco
6205,6205,104.37.32.85,2620:11b:7001:6::1,51468,51468,104.37.32.0/21,2620:11b:7000::/44,True,True,3,1541001145,1466678168,74172266,"['system-anchor', 'system-v2-soekris', 'system-firewall-problem-suspected', 'system-ipv6-capable', 'system-ipv4-capable']",US,39.0095,-77.4625,20210906,https://atlas.ripe.net/api/v2/probes/6205/,Abandoned,Ashburn
6208,6208,74.118.183.198,2605:bc00:0:114::10,46309,46309,74.118.180.0/22,2605:bc00::/32,True,True,3,1596036665,1467274900,128689665,"['system-anchor', 'system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,37.0815,-113.6225,20210906,https://atlas.ripe.net/api/v2/probes/6208/,Abandoned,St. George
6215,6215,152.195.76.35,2606:2800:4062:c::a,15133,15133,152.195.76.0/24,2606:2800:4062::/48,True,True,2,1623482888,1471448523,116540853,"['system-no-controller-connection', 'system-ipv4-capable', 'system-v2-soekris', 'system-ipv6-capable', 'system-anchor']",US,34.0495,-118.2425,20210906,https://atlas.ripe.net/api/v2/probes/6215/,Disconnected,Los Angeles
6216,6216,164.113.94.217,2001:49d0:14c0:1::2,2495,2495,164.113.0.0/16,2001:49d0::/32,True,True,1,1630926880,1471957315,158843769,"['system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-v2-soekris', 'internet2', 'system-ipv6-capable', 'system-ipv4-capable', 'iwantbcp38compliancetesting', 'native-ipv4', 'system-anchor', 'multihomed', 'ipv6-tunnel', 'no-nat', 'academic']",US,38.9505,-95.2625,20210906,https://atlas.ripe.net/api/v2/probes/6216/,Connected,Lawrence
6222,6222,185.114.152.90,,26167,,185.114.152.0/24,,True,True,1,1627256640,1474366508,156538610,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-v2-soekris', 'system-ipv4-capable', 'system-anchor']",US,42.3485,-71.0615,20210906,https://atlas.ripe.net/api/v2/probes/6222/,Connected,Boston
6223,6223,128.112.128.33,,88,,128.112.0.0/16,,True,True,3,1611483806,1474460640,136892235,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv4-capable', 'system-anchor', 'ipv4', 'academic']",US,40.3485,-74.6515,20210906,https://atlas.ripe.net/api/v2/probes/6223/,Abandoned,Princeton
6229,6229,192.172.226.235,2001:48d0:101:501::235,1909,195,192.172.226.0/24,2001:48d0::/35,True,True,1,1628747563,1478082104,151034547,"['system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-90d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,32.8815,-117.2415,20210906,https://atlas.ripe.net/api/v2/probes/6229/,Connected,San Diego
