,Cities,Latency,GeodesicDistance,GCD,RoutingDistance,GCDPredic,GeodesicPredic,Diff_Geodesic,Diff_GCD,Diff_between_both
28,"('Hong Kong', 'Montreal')",190.7,10.98804407290566,12437.482348876572,15546.852936095715,216.99233487491935,263.21744595926833,-72.51744595926834,-26.292334874919362,46.22511108434898
57,"('Council Bluffs', 'Hong Kong')",161.866,9.69715380057636,12300.684615020762,15375.855768775953,214.6056734234841,232.2943045665226,-70.4283045665226,-52.73967342348408,17.68863114303852
79,"('Moncks Corner', 'Hong Kong')",194.575,10.905435843874526,13665.907960723567,17082.38495090446,238.42424000312303,261.23857447708986,-66.66357447708987,-43.84924000312304,22.814334473966824
101,"('London', 'Hong Kong')",255.945,7.581647440405032,9626.263782905333,12032.829728631667,167.94600352242324,181.6175710787186,74.32742892128138,87.99899647757675,13.671567556295372
110,"('Sydney', 'Council Bluffs')",182.639,8.976792229871851,14191.625371890084,17739.531714862605,247.59624486178518,215.03811852012765,-32.399118520127644,-64.95724486178517,-32.55812634165753
111,"('Sydney', 'Moncks Corner')",197.037,9.567887597817686,15316.664788743201,19145.830985929002,267.2244077842698,229.1977462060688,-32.16074620606881,-70.18740778426977,-38.02666157820096
116,"('Sydney', 'Montreal')",208.19400000000002,10.044140790821253,16027.763660321298,20034.70457540162,279.6306971073327,240.60634160854391,-32.4123416085439,-71.43669710733269,-39.02435549878879
118,"('Sydney', 'London')",273.507,10.934907524001929,16993.18346393642,21241.479329920527,296.474033358568,261.94456549057617,11.562434509423838,-22.967033358568017,-34.529467867991855
123,"('Sydney', 'Hong Kong')",125.63600000000001,3.9495194406193193,7371.321377351194,9214.151721688993,128.60482466769653,94.61032491575999,31.02567508424002,-2.9688246676965235,-33.994499751936544
132,"('Osaka', 'Council Bluffs')",126.848,8.338312624123454,10074.530447428388,12593.163059285485,175.76675272656067,199.7434063759915,-72.8954063759915,-48.91875272656067,23.97665364943083
133,"('Osaka', 'Moncks Corner')",162.829,9.641751858909084,11606.780511440598,14508.475639300748,202.49937510751116,230.96715685123425,-68.13815685123424,-39.67037510751115,28.467781743723094
