,Cities,Latency,GeodesicDistance,GCD,RoutingDistance,GCDPredic,GeodesicPredic,Diff_Geodesic,Diff_GCD,Diff_between_both
14,"('Sao Paulo', 'Portland')",175.84176,6.133917406680983,10839.729415840793,13549.66176980099,184.38669892258866,145.5065345002152,30.335225499784798,-8.54493892258867,-38.88016442237347
31,"('Montreal', 'Sao Paulo')",120.734207,5.153784383258701,8147.600390695325,10184.500488369156,138.59286358064287,122.25617911850443,-1.5219721185044364,-17.858656580642872,-16.336684462138436
42,"('Stockholm', 'Portland')",169.322668,8.752860045378,7818.055420168925,8450.25,132.98721541998796,207.63212931122325,-38.30946131122326,36.33545258001203,74.64491389123529
43,"('Stockholm', 'Montreal')",119.567905,6.381563366071093,5881.938068778267,7352.422585972834,100.05334101644702,151.38110093871794,-31.81319593871794,19.514563983552975,51.327759922270914
45,"('Stockholm', 'Sao Paulo')",224.474737,7.392725096538488,10927.372842835877,13659.216053544846,185.87753707600885,175.36750790587053,49.10722909412948,38.597199923991155,-10.510029170138324
56,"('Paris', 'Portland')",150.54831,8.033272703724021,8247.668076483213,7204.73,140.2950417018317,190.56234284160928,-40.01403284160929,10.25326829816828,50.26730113977757
59,"('Paris', 'Sao Paulo')",196.603284,5.919135501759525,9402.035753417005,11752.544691771256,159.93114488552447,140.41155708424338,56.19172691575662,36.67213911447553,-19.51958780128109
72,"('Columbus', 'Stockholm')",117.292307,6.8240536639660165,6837.2088962885255,5848.25,116.30275349756141,161.87769316973342,-44.585386169733425,0.9895535024385822,45.57493967217201
73,"('Columbus', 'Sao Paulo')",128.542537,4.967760129759199,8005.13132067706,10006.414150846325,136.16942656376955,117.84338014109723,10.699156858902782,-7.626889563769538,-18.32604642267232
84,"('Tokyo', 'Portland')",103.038588,6.084330922561617,7792.686899138414,9740.858623923017,132.55569008665924,144.33026214702045,-41.291674147020444,-29.517102086659236,11.774572060361209
85,"('Tokyo', 'Montreal')",157.244196,8.804624268084359,10389.53582775525,12986.919784694062,176.72878548224932,208.86006117885745,-51.61586517885746,-19.484589482249334,32.13127569660813
86,"('Tokyo', 'Stockholm')",244.586427,7.860368988589888,8168.856066176875,10211.070082721093,138.95442831026475,186.46078445349374,58.12564254650624,105.63199868973524,47.506356143229
87,"('Tokyo', 'Sao Paulo')",271.74831,11.15676635098804,18534.543653353176,23168.17956669147,315.2775488366123,264.65671125481964,7.091598745180363,-43.52923883661231,-50.62083758179267
93,"('Tokyo', 'Columbus')",158.120644,8.399213747707847,10536.35575069357,13170.444688366963,179.2262316719212,199.24306180327667,-41.122417803276676,-21.1055876719212,20.016830131355476
94,"('Tokyo', 'Paris')",243.887533,8.52511914150235,9711.722693007585,12139.653366259481,165.1990026243993,202.22974328450576,41.65778971549423,78.68853037560069,37.03074066010646
