,FROM_PROBE,FROM_CITY,FROM_STATE,FROM_LATITUDE,FROM_LONGITUDE,TO_PROBE,TO_CITY,TO_STATE,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
225,6408,Phoenix,Arizona,33.4215,-112.0125,6437,Dallas,Texas,32.7905,-96.7915,1418.2112516762556,-0.8615384617909096
226,6408,Phoenix,Arizona,33.4215,-112.0125,6067,Dallas,Texas,32.8105,-96.8595,1411.6333119196145,-0.8186813188776156
227,6408,Phoenix,Arizona,33.4215,-112.0125,6093,Unknown,Texas,32.9885,-96.9285,1402.9924248004866,-0.794871795138717
248,6454,Atlanta,Georgia,33.7795,-84.4205,6093,Unknown,Texas,32.9885,-96.9285,1163.948280230032,-0.529411764891806
340,6208,St. George,Utah,37.0815,-113.6225,6080,Denver,Colorado,39.7375,-104.9785,808.5587579989816,-0.5750000000333846
478,6093,Unknown,Texas,32.9885,-96.9285,6066,Atlanta,Georgia,33.7705,-84.4195,1164.026056220209,-0.5625000003356881
479,6093,Unknown,Texas,32.9885,-96.9285,6101,Phoenix,Arizona,33.4175,-112.0125,1403.009517773299,-0.9166666667228618
590,6409,Dallas,Texas,32.8415,-96.8825,6101,Phoenix,Arizona,33.4175,-112.0125,1409.1017553872368,-1.050000000043585
