,FROM_PROBE,FROM_CITY,FROM_STATE,FROM_LATITUDE,FROM_LONGITUDE,TO_PROBE,TO_CITY,TO_STATE,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
526,6408,Phoenix,Arizona,"6408    33.4215
Name: latitude, dtype: object","6408   -112.013
Name: longitude, dtype: object",6454,Atlanta,Georgia,"6454    33.7795
Name: latitude, dtype: object","6454   -84.4205
Name: longitude, dtype: object",2548.0853918677913,-0.2862745098205408
758,6208,St. George,Utah,"6208    37.0815
Name: latitude, dtype: object","6208   -113.623
Name: longitude, dtype: object",6259,Chicago,Illinois,"6259    41.8815
Name: latitude, dtype: object","6259   -87.6305
Name: longitude, dtype: object",2284.1497752217965,-0.34012066436875266
