,FROM_CITY,FROM_LATITUDE,FROM_LONGITUDE,TO_CITY,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
99,Illinois,40.4595,-87.6595,Utah,37.0815,-113.6225,2273.487414789377,0.18989071020327186
100,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.1987704908584711
101,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.16752049024470383
102,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633,0.2023419203365453
103,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.06498829034875953
104,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633,0.21265938060343437
107,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.1675204907605814
224,Washington,47.6205,-122.3625,Minnesota,48.5805,-96.5185,1912.9380575228174,0.1285377357344819
229,Washington,47.6205,-122.3625,Illinois,40.4595,-87.6595,2859.2708257912027,0.12182203304721395
233,Washington,47.6205,-122.3625,Michigan,42.7105,-84.6685,2974.732813581201,0.23437499798331707
267,California,37.7195,-122.3985,Minnesota,48.5805,-96.5185,2404.7840157853207,0.1493710688513621
394,North Carolina,35.3305,-81.8715,California,37.7195,-122.3985,3602.867766235302,0.08979591825378519
442,Missouri,39.0985,-94.5795,California,37.7195,-122.3985,2419.3029522281495,0.24444444392436526
500,Florida,25.7885,-80.2295,Arizona,33.4215,-112.0125,3173.9720092296056,0.23168056141575566
503,Florida,25.7885,-80.2295,Arizona,33.4215,-112.0125,3173.9720092296056,0.23420836676092682
563,California,37.7195,-122.3985,Pennsylvania,39.9585,-75.6095,4013.425386947584,0.10099667764229725
637,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.19179104449788453
658,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.2469470823513138
679,Arizona,33.4215,-112.0125,Georgia,33.7795,-84.4205,2548.0853918677913,0.24608879459943422
687,Arizona,33.4215,-112.0125,Virginia,38.9475,-77.3715,3149.425312038947,0.19653442744181615
689,Arizona,33.4215,-112.0125,Virginia,38.9475,-77.3715,3149.425312038947,0.22049956911485935
690,Arizona,33.4215,-112.0125,Florida,25.7885,-80.2295,3173.9720092296056,0.19933554762803307
691,Arizona,33.4215,-112.0125,Virginia,38.9475,-77.3715,3149.425312038947,0.21281263690077923
731,Georgia,33.7795,-84.4205,California,37.7195,-122.3985,3431.596265311825,0.1376623371724266
733,Georgia,33.7795,-84.4205,Arizona,33.4215,-112.0125,2548.0853918677913,0.2486166007296473
