,FROM_CITY,FROM_LATITUDE,FROM_LONGITUDE,TO_CITY,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
0,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0,0.7499999997272361
1,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0,0.8793103447860423
2,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0,0.8928571427519542
3,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0,0.8076923076218899
4,Florida,25.7885,-80.2295,Georgia,33.7795,-84.4205,976.0016391495011,0.7968749999617841
5,Florida,25.7885,-80.2295,Georgia,33.7795,-84.4205,976.0016391495011,0.7285714279186726
6,Florida,25.7885,-80.2295,Georgia,33.7795,-84.4205,976.0016391495011,0.7368421048715089
7,Florida,25.7885,-80.2295,North Carolina,35.3305,-81.8715,1072.5524900048451,0.8867924519719442
8,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8360655728040263
9,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.9074074069498953
10,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.836065573484609
11,Florida,25.7885,-80.2295,"Washington, D.C.",38.8995,-77.0205,1488.4225975871973,0.8653846152212114
12,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8644067793946844
13,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.9090909089921162
14,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8474576268850704
15,Florida,25.7885,-80.2295,Pennsylvania,39.9585,-75.6095,1632.9723517549762,0.7884615382705022
16,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8032786880895648
17,Florida,25.7885,-80.2295,New York,40.7115,-74.0105,1755.9839984012556,0.8196721308220389
18,Florida,25.7885,-80.2295,Pennsylvania,39.9585,-75.6095,1632.9723517549762,0.892857142757029
19,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8793103446568641
20,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.7777777772152207
21,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.70833333268728
22,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.6986301363356242
23,Florida,25.7885,-80.2295,New Jersey,40.3485,-74.6515,1699.395420609335,0.8545454544053459
24,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.6986301363356252
25,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.70833333268728
26,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.6999999988913324
27,Florida,25.7885,-80.2295,North Carolina,35.3305,-81.8715,1072.5524900048451,0.7307692302733446
28,Florida,25.7885,-80.2295,Massachusetts,42.3485,-71.0615,2022.7516455065243,0.92452830059746
29,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.6986301363356249
30,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8461538425797539
31,Florida,25.7885,-80.2295,New Jersey,40.3485,-74.6515,1699.395420609335,0.8333333329947843
32,Florida,25.7885,-80.2295,New Jersey,40.3485,-74.6515,1699.395420609335,0.7307692302481252
33,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.7884615377245217
34,Florida,25.7885,-80.2295,North Carolina,35.3305,-81.8715,1072.5524900048451,0.8928571427860214
35,Florida,25.7885,-80.2295,Illinois,40.4595,-87.6595,1770.2657059830774,0.6986301363356255
36,Florida,25.7885,-80.2295,Michigan,42.7105,-84.6685,1924.6047755272223,0.8461538434798732
37,Florida,25.7885,-80.2295,Illinois,40.4595,-87.6595,1770.2657059830774,0.7692307664809482
38,Florida,25.7885,-80.2295,New York,40.7115,-74.0105,1755.9839984012556,0.8727272726810982
39,Florida,25.7885,-80.2295,Illinois,40.4595,-87.6595,1770.2657059830774,0.698630136335625
40,Florida,25.7885,-80.2295,Iowa,41.2585,-95.8625,2241.7419299442977,0.7031249999075224
41,Florida,25.7885,-80.2295,Michigan,42.7105,-84.6685,1924.6047755272223,0.7142857137295098
42,Florida,25.7885,-80.2295,Colorado,39.7385,-104.9885,2771.5276829878494,0.6944444423111236
43,Florida,25.7885,-80.2295,Illinois,40.4595,-87.6595,1770.2657059830774,0.70833333268728
44,Florida,25.7885,-80.2295,Missouri,39.0985,-94.5795,1995.7199666391377,0.698630136335624
45,Florida,25.7885,-80.2295,Kansas,38.9505,-95.2625,2027.9532249397253,0.7083333326164568
46,Florida,25.7885,-80.2295,Kansas,38.9505,-95.2625,2027.9532249397253,0.6969696968980424
47,Florida,25.7885,-80.2295,Pennsylvania,39.9585,-75.6095,1632.9723517549762,0.8596491226023268
48,Florida,25.7885,-80.2295,Indiana,39.9615,-86.1525,1669.1374036550937,0.7575757547342277
49,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537,0.6071428563968199
50,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537,0.6249999997260879
51,Illinois,40.4595,-87.6595,Illinois,40.4595,-87.6595,0.0,0.888888888653675
52,Illinois,40.4595,-87.6595,Illinois,40.4595,-87.6595,0.0,0.9726027389052085
53,Illinois,40.4595,-87.6595,Illinois,40.4595,-87.6595,0.0,0.9726027389052085
54,Illinois,40.4595,-87.6595,Michigan,42.7105,-84.6685,352.84600188590116,0.6527777776155066
55,Illinois,40.4595,-87.6595,Michigan,42.7105,-84.6685,352.84600188590116,0.9583333332860615
56,Illinois,40.4595,-87.6595,Iowa,41.2585,-95.8625,695.2943853310016,0.8611111110521006
57,Illinois,40.4595,-87.6595,Missouri,39.0985,-94.5795,610.224237416251,0.9726027389052087
58,Illinois,40.4595,-87.6595,New York,40.7115,-74.0105,1151.7766139244634,0.7499999980324017
59,Illinois,40.4595,-87.6595,Kansas,38.9505,-95.2625,671.4651077422488,0.9722222220970914
60,Illinois,40.4595,-87.6595,Indiana,39.9615,-86.1525,139.4346285979559,0.9027777769501484
61,Illinois,40.4595,-87.6595,Pennsylvania,39.9585,-75.6095,1023.9919863876723,0.777777777722938
62,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.8032786877177136
63,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.8333333322357463
64,Illinois,40.4595,-87.6595,New York,40.7115,-74.0105,1151.7766139244634,0.8333333331253236
65,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.7916666666293406
66,Illinois,40.4595,-87.6595,Georgia,33.7795,-84.4205,796.2021373592218,0.9583333332031838
67,Illinois,40.4595,-87.6595,Minnesota,48.5805,-96.5185,1142.3840666786562,0.8749999999010207
68,Illinois,40.4595,-87.6595,New Jersey,40.3485,-74.6515,1100.5136770290208,0.7499999999536319
69,Illinois,40.4595,-87.6595,New Jersey,40.3485,-74.6515,1100.5136770290208,0.8194444444002843
70,Illinois,40.4595,-87.6595,Georgia,33.7795,-84.4205,796.2021373592218,0.7777777775581498
71,Illinois,40.4595,-87.6595,New Jersey,40.3485,-74.6515,1100.5136770290208,0.6666666665594423
72,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703,0.9726027389052087
73,Illinois,40.4595,-87.6595,Massachusetts,42.3485,-71.0615,1397.8654846200366,0.7222222221629067
74,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.8321948997205731
75,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.749999999960566
76,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.6944444441588085
77,Illinois,40.4595,-87.6595,Pennsylvania,39.9585,-75.6095,1023.9919863876723,0.6944444436914282
78,Illinois,40.4595,-87.6595,Colorado,39.7385,-104.9885,1473.7559814585534,0.9722222221274696
79,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.7361111107495012
80,Illinois,40.4595,-87.6595,Colorado,39.7385,-104.9885,1473.7559814585534,0.7916666664822644
81,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703,0.9726027389052087
82,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.7361111110708805
83,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703,0.9726027389052084
84,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.8055555531972756
85,Illinois,40.4595,-87.6595,Kansas,38.9505,-95.2625,671.4651077422488,0.8888888887692563
86,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703,0.986111110524981
87,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703,0.9861111105249807
88,Illinois,40.4595,-87.6595,Georgia,33.7795,-84.4205,796.2021373592218,0.8611111109623262
89,Illinois,40.4595,-87.6595,"Washington, D.C.",38.8995,-77.0205,926.2396253903389,0.6666666654992678
90,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703,0.819444444067083
91,Illinois,40.4595,-87.6595,Pennsylvania,39.9585,-75.6095,1023.9919863876723,0.7499999981465892
92,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627,0.7780131817257485
