,FROM_CITY,FROM_LATITUDE,FROM_LONGITUDE,TO_CITY,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
101,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.24999999996570255
103,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.16741071307254807
232,Washington,47.6205,-122.3625,Illinois,40.4595,-87.6595,2859.2708257912027,0.17708333328945136
398,North Carolina,35.3305,-81.8715,California,37.7195,-122.3985,3602.867766235302,0.20891514490985197
567,California,37.7195,-122.3985,Pennsylvania,39.9585,-75.6095,4013.425386947584,0.16752136725871136
571,California,37.7195,-122.3985,Georgia,33.7795,-84.4205,3431.596265311825,0.20722134993451524
572,California,37.7195,-122.3985,Indiana,39.9615,-86.1525,3127.5369149092303,0.19459706943651855
614,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193,0.11804547648757246
646,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.23669467785729104
748,Georgia,33.7795,-84.4205,California,37.7195,-122.3985,3431.596265311825,0.18623481772940276
749,Georgia,33.7795,-84.4205,California,37.7195,-122.3985,3431.596265311825,0.1096491227491182
750,Georgia,33.7795,-84.4205,California,37.7195,-122.3985,3431.596265311825,0.15488721790585325
884,California,37.7195,-122.3985,Georgia,33.7795,-84.4205,3431.596265311825,0.12315270924477795
953,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.19242424236562838
954,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.08095238091610557
955,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.22272727249546498
957,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.17549019600613525
986,California,37.7195,-122.3985,Georgia,33.7795,-84.4205,3431.596265311825,0.1350574712114856
1012,Utah,37.0815,-113.6225,Pennsylvania,39.9585,-75.6095,3297.469411891069,0.06629270767098439
1075,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537,0.22652218770916177
1226,Georgia,33.7795,-84.4205,California,37.7195,-122.3985,3431.596265311825,0.19675562520782064
1227,Georgia,33.7795,-84.4205,California,37.7195,-122.3985,3431.596265311825,0.19183673466216156
1250,California,37.7195,-122.3985,Virginia,38.9475,-77.3715,3889.2871200723193,0.13857064911514505
1251,California,37.7195,-122.3985,Georgia,33.7795,-84.4205,3431.596265311825,0.2104332448181474
1252,California,37.7195,-122.3985,Virginia,38.9475,-77.3715,3889.2871200723193,0.07573046980067921
1334,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193,0.2265221877403366
1348,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.2160625433985821
1377,Washington,47.6205,-122.3625,Indiana,39.9615,-86.1525,2998.216955387207,0.017857142825185246
1379,Washington,47.6205,-122.3625,Michigan,42.7105,-84.6685,2974.732813581201,0.16741071369561644
1433,California,37.7195,-122.3985,Virginia,38.9475,-77.3715,3889.2871200723193,0.22393247258862847
1434,California,37.7195,-122.3985,"Washington, D.C.",38.8995,-77.0205,3920.0836723318016,0.2110862260125207
1515,Pennsylvania,39.9585,-75.6095,California,37.7195,-122.3985,4013.425386947584,0.15672514613362643
1657,California,37.7195,-122.3985,Indiana,39.9615,-86.1525,3127.5369149092303,0.1851503757779629
1681,California,37.7195,-122.3985,Georgia,33.7795,-84.4205,3431.596265311825,0.15778474386852281
1715,Washington,47.6205,-122.3625,Indiana,39.9615,-86.1525,2998.216955387207,0.1596320336230913
