,CITY A,LATITUDE A,LONGITUDE A,CITY B,LATITUDE B,LONGITUDE B,GREAT CIRCLE DISTANCE (IN KM)
77,Florida,25.7885,-80.2295,California,37.7195,-122.3985,4162.534423687537
78,Illinois,40.4595,-87.6595,Florida,25.7885,-80.2295,1770.2657059830774
79,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
80,Illinois,40.4595,-87.6595,New York,40.7115,-74.0105,1151.7766139244634
81,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027
82,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
83,Illinois,40.4595,-87.6595,Michigan,42.7105,-84.6685,352.84600188590116
84,Illinois,40.4595,-87.6595,Pennsylvania,39.9585,-75.6095,1023.9919863876723
85,Illinois,40.4595,-87.6595,North Carolina,35.3305,-81.8715,763.3107942427438
86,Illinois,40.4595,-87.6595,Missouri,39.0985,-94.5795,610.224237416251
87,Illinois,40.4595,-87.6595,Florida,25.7885,-80.2295,1770.2657059830774
88,Illinois,40.4595,-87.6595,North Carolina,35.3305,-81.8715,763.3107942427438
89,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
90,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
91,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703
92,Illinois,40.4595,-87.6595,Arizona,33.4215,-112.0125,2292.4199766410115
93,Illinois,40.4595,-87.6595,Georgia,33.7795,-84.4205,796.2021373592218
94,Illinois,40.4595,-87.6595,Minnesota,48.5805,-96.5185,1142.3840666786562
95,Illinois,40.4595,-87.6595,Massachusetts,42.3485,-71.0615,1397.8654846200366
96,Illinois,40.4595,-87.6595,Florida,25.7885,-80.2295,1770.2657059830774
97,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
98,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
99,Illinois,40.4595,-87.6595,Illinois,40.4595,-87.6595,0.0
100,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
101,Illinois,40.4595,-87.6595,Utah,37.0815,-113.6225,2273.487414789377
102,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
103,Illinois,40.4595,-87.6595,Florida,25.7885,-80.2295,1770.2657059830774
104,Illinois,40.4595,-87.6595,New Jersey,40.3485,-74.6515,1100.5136770290208
105,Illinois,40.4595,-87.6595,New Jersey,40.3485,-74.6515,1100.5136770290208
106,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
107,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703
108,Illinois,40.4595,-87.6595,Georgia,33.7795,-84.4205,796.2021373592218
109,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
110,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
111,Illinois,40.4595,-87.6595,New Jersey,40.3485,-74.6515,1100.5136770290208
112,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027
113,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
114,Illinois,40.4595,-87.6595,New York,40.7115,-74.0105,1151.7766139244634
115,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
116,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703
117,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027
118,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
119,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
120,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
121,Illinois,40.4595,-87.6595,New York,40.7115,-74.0105,1151.7766139244634
122,Illinois,40.4595,-87.6595,North Carolina,35.3305,-81.8715,763.3107942427438
123,Illinois,40.4595,-87.6595,Illinois,40.4595,-87.6595,0.0
124,Illinois,40.4595,-87.6595,Pennsylvania,39.9585,-75.6095,1023.9919863876723
125,Illinois,40.4595,-87.6595,Pennsylvania,39.9585,-75.6095,1023.9919863876723
126,Illinois,40.4595,-87.6595,Iowa,41.2585,-95.8625,695.2943853310016
127,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
128,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
129,Illinois,40.4595,-87.6595,Kansas,38.9505,-95.2625,671.4651077422488
130,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
131,Illinois,40.4595,-87.6595,Colorado,39.7385,-104.9885,1473.7559814585534
132,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
133,Illinois,40.4595,-87.6595,Kansas,38.9505,-95.2625,671.4651077422488
134,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
135,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
136,Illinois,40.4595,-87.6595,Illinois,40.4595,-87.6595,0.0
137,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
138,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
139,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703
140,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703
141,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027
142,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
143,Illinois,40.4595,-87.6595,Indiana,39.9615,-86.1525,139.4346285979559
144,Illinois,40.4595,-87.6595,"Washington, D.C.",38.8995,-77.0205,926.2396253903389
145,Illinois,40.4595,-87.6595,Texas,32.7975,-96.8195,1179.3448761964703
146,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027
147,Illinois,40.4595,-87.6595,Michigan,42.7105,-84.6685,352.84600188590116
148,Illinois,40.4595,-87.6595,Colorado,39.7385,-104.9885,1473.7559814585534
149,Illinois,40.4595,-87.6595,Georgia,33.7795,-84.4205,796.2021373592218
150,Illinois,40.4595,-87.6595,Arizona,33.4215,-112.0125,2292.4199766410115
151,Illinois,40.4595,-87.6595,Florida,25.7885,-80.2295,1770.2657059830774
152,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
153,Illinois,40.4595,-87.6595,Virginia,38.9475,-77.3715,895.4905615498627
154,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633
155,Virginia,38.9475,-77.3715,Florida,25.7885,-80.2295,1487.3933795860755
156,Virginia,38.9475,-77.3715,Illinois,40.4595,-87.6595,895.4905615498627
157,Virginia,38.9475,-77.3715,New York,40.7115,-74.0105,347.5855956710782
158,Virginia,38.9475,-77.3715,Washington,47.6205,-122.3625,3711.1719318519536
159,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
160,Virginia,38.9475,-77.3715,Michigan,42.7105,-84.6685,742.5345103349347
161,Virginia,38.9475,-77.3715,Pennsylvania,39.9585,-75.6095,188.47245006970448
162,Virginia,38.9475,-77.3715,North Carolina,35.3305,-81.8715,566.3001389162564
163,Virginia,38.9475,-77.3715,Missouri,39.0985,-94.5795,1484.4081214869427
164,Virginia,38.9475,-77.3715,Florida,25.7885,-80.2295,1487.3933795860755
165,Virginia,38.9475,-77.3715,North Carolina,35.3305,-81.8715,566.3001389162564
166,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
167,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
168,Virginia,38.9475,-77.3715,Texas,32.7975,-96.8195,1876.3174695087002
169,Virginia,38.9475,-77.3715,Arizona,33.4215,-112.0125,3149.425312038947
170,Virginia,38.9475,-77.3715,Georgia,33.7795,-84.4205,853.0729626367884
171,Virginia,38.9475,-77.3715,Minnesota,48.5805,-96.5185,1865.484836058886
172,Virginia,38.9475,-77.3715,Massachusetts,42.3485,-71.0615,652.7064513683631
173,Virginia,38.9475,-77.3715,Florida,25.7885,-80.2295,1487.3933795860755
174,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
175,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
176,Virginia,38.9475,-77.3715,Illinois,40.4595,-87.6595,895.4905615498627
177,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
178,Virginia,38.9475,-77.3715,Utah,37.0815,-113.6225,3161.6410273771844
179,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
180,Virginia,38.9475,-77.3715,Florida,25.7885,-80.2295,1487.3933795860755
181,Virginia,38.9475,-77.3715,New Jersey,40.3485,-74.6515,280.15977107027135
182,Virginia,38.9475,-77.3715,New Jersey,40.3485,-74.6515,280.15977107027135
183,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
184,Virginia,38.9475,-77.3715,Texas,32.7975,-96.8195,1876.3174695087002
185,Virginia,38.9475,-77.3715,Georgia,33.7795,-84.4205,853.0729626367884
186,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
187,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
188,Virginia,38.9475,-77.3715,New Jersey,40.3485,-74.6515,280.15977107027135
189,Virginia,38.9475,-77.3715,Washington,47.6205,-122.3625,3711.1719318519536
190,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
191,Virginia,38.9475,-77.3715,New York,40.7115,-74.0105,347.5855956710782
192,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
193,Virginia,38.9475,-77.3715,Texas,32.7975,-96.8195,1876.3174695087002
194,Virginia,38.9475,-77.3715,Washington,47.6205,-122.3625,3711.1719318519536
195,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
196,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
197,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
198,Virginia,38.9475,-77.3715,New York,40.7115,-74.0105,347.5855956710782
199,Virginia,38.9475,-77.3715,North Carolina,35.3305,-81.8715,566.3001389162564
200,Virginia,38.9475,-77.3715,Illinois,40.4595,-87.6595,895.4905615498627
201,Virginia,38.9475,-77.3715,Pennsylvania,39.9585,-75.6095,188.47245006970448
202,Virginia,38.9475,-77.3715,Pennsylvania,39.9585,-75.6095,188.47245006970448
203,Virginia,38.9475,-77.3715,Iowa,41.2585,-95.8625,1590.4051935581103
204,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
205,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
206,Virginia,38.9475,-77.3715,Kansas,38.9505,-95.2625,1544.6615918602283
207,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
208,Virginia,38.9475,-77.3715,Colorado,39.7385,-104.9885,2367.1214574990627
209,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
210,Virginia,38.9475,-77.3715,Kansas,38.9505,-95.2625,1544.6615918602283
211,Virginia,38.9475,-77.3715,California,37.7195,-122.3985,3889.2871200723193
212,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0
