,FROM_CITY,FROM_LATITUDE,FROM_LONGITUDE,TO_CITY,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
97,Illinois,40.4595,-87.6595,Utah,37.0815,-113.6225,2273.487414789377,0.10952380866239775
98,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.09999999992824016
99,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.0827956981540049
100,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633,0.12549019483815427
101,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,-0.05897435920926619
102,Illinois,40.4595,-87.6595,California,37.7195,-122.3985,2994.2083777273633,0.1380952372640214
103,Illinois,40.4595,-87.6595,Arizona,33.4215,-112.0125,2292.4199766410115,0.14561403485393742
104,Illinois,40.4595,-87.6595,Arizona,33.4215,-112.0125,2292.4199766410115,0.19561403478856543
220,Washington,47.6205,-122.3625,Minnesota,48.5805,-96.5185,1912.9380575228174,0.03161290318144239
222,Washington,47.6205,-122.3625,Illinois,40.4595,-87.6595,2859.2708257912027,0.20028887768156356
223,Washington,47.6205,-122.3625,Illinois,40.4595,-87.6595,2859.2708257912027,0.2002888776574454
225,Washington,47.6205,-122.3625,Illinois,40.4595,-87.6595,2859.2708257912027,0.05850191322092835
227,Washington,47.6205,-122.3625,Texas,32.7975,-96.8195,2702.96402579537,0.22300140200625496
229,Washington,47.6205,-122.3625,Michigan,42.7105,-84.6685,2974.732813581201,0.07709130587191415
254,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.21033868079946416
256,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.2304653200204676
258,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.21553994714292102
260,California,37.7195,-122.3985,Illinois,40.4595,-87.6595,2994.2083777273633,0.23090430190613442
261,California,37.7195,-122.3985,Illinois,40.4595,-87.6595,2994.2083777273633,0.2159789287832038
387,North Carolina,35.3305,-81.8715,California,37.7195,-122.3985,3602.867766235302,-0.01564455583662827
432,Missouri,39.0985,-94.5795,California,37.7195,-122.3985,2419.3029522281495,0.21379310326599166
433,Missouri,39.0985,-94.5795,California,37.7195,-122.3985,2419.3029522281495,0.14511278192992405
490,Florida,25.7885,-80.2295,Arizona,33.4215,-112.0125,3173.9720092296056,0.023219814221396073
542,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.23975044556575287
545,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.23002633760380298
546,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.2449517118261343
549,California,37.7195,-122.3985,Illinois,40.4595,-87.6595,2994.2083777273633,0.2453906934492598
551,California,37.7195,-122.3985,Pennsylvania,39.9585,-75.6095,4013.425386947584,0.018207282099093947
611,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.23134328278927918
613,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.2161917680641846
617,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.20009328350583
624,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.10054988215316818
628,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.21641791036441482
632,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.23254694267094844
633,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.19917653111565936
637,Texas,32.7975,-96.8195,Utah,37.0815,-113.6225,1601.438370160383,0.2430703623049183
645,Texas,32.7975,-96.8195,California,37.7195,-122.3985,2378.027870957815,0.14513638680968932
666,Arizona,33.4215,-112.0125,Georgia,33.7795,-84.4205,2548.0853918677913,0.07990430620669264
667,Arizona,33.4215,-112.0125,Georgia,33.7795,-84.4205,2548.0853918677913,0.12206047012868748
672,Arizona,33.4215,-112.0125,Illinois,40.4595,-87.6595,2292.4199766410115,0.17216770714065932
674,Arizona,33.4215,-112.0125,Virginia,38.9475,-77.3715,3149.425312038947,-0.007368421833722882
713,Georgia,33.7795,-84.4205,California,37.7195,-122.3985,3431.596265311825,0.08609625620295214
715,Georgia,33.7795,-84.4205,Arizona,33.4215,-112.0125,2548.0853918677913,0.025358851274498218
716,Georgia,33.7795,-84.4205,California,37.7195,-122.3985,3431.596265311825,-0.02727272732166397
738,Minnesota,48.5805,-96.5185,Washington,47.6205,-122.3625,1912.9380575228174,0.03161290230150959
740,Minnesota,48.5805,-96.5185,Washington,47.6205,-122.3625,1912.9380575228174,0.079999998889689
741,Minnesota,48.5805,-96.5185,Washington,47.6205,-122.3625,1912.9380575228174,-0.0006451621489551584
829,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.19696969671752462
830,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.23847167245113998
831,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.24401913831040933
835,California,37.7195,-122.3985,Texas,32.7975,-96.8195,2378.027870957815,0.20126639510813848
838,California,37.7195,-122.3985,Illinois,40.4595,-87.6595,2994.2083777273633,0.21619176823438224
908,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,0.058501913332403066
909,Illinois,40.4595,-87.6595,Washington,47.6205,-122.3625,2859.2708257912027,-0.07757496745802284
