,FROM_PROBE,FROM_CITY,FROM_STATE,FROM_LATITUDE,FROM_LONGITUDE,TO_PROBE,TO_CITY,TO_STATE,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
850,6343,Chicago,Illinois,"6343    41.8485
Name: latitude, dtype: object","6343   -87.6205
Name: longitude, dtype: object",6065,Seattle,Washington,"6065    47.6095
Name: latitude, dtype: object","6065   -122.34
Name: longitude, dtype: object",2791.509394477132,-0.2881773399500316
1233,6065,Seattle,Washington,"6065    47.6095
Name: latitude, dtype: object","6065   -122.34
Name: longitude, dtype: object",6280,Unknown,Illinois,"6280    41.9975
Name: latitude, dtype: object","6280   -87.9685
Name: longitude, dtype: object",2758.4121913006957,-0.35714285720326044
1234,6065,Seattle,Washington,"6065    47.6095
Name: latitude, dtype: object","6065   -122.34
Name: longitude, dtype: object",6259,Chicago,Illinois,"6259    41.8815
Name: latitude, dtype: object","6259   -87.6305
Name: longitude, dtype: object",2789.2008292029036,-0.27649769607149755
