,FROM_CITY,FROM_LATITUDE,FROM_LONGITUDE,TO_CITY,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
2,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,2.573496971081113e-13
7,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,0.24999999994827315
11,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,0.2499999999750856
12,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,0.14285714281010053
13,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,0.14285714281010076
14,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,-2.284838984678572e-13
15,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,0.1999999999994242
16,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,0.1999999999994242
38,Colorado,39.7385,-104.9885,Colorado,39.7385,-104.9885,0.0,2.1382895454280515e-13
40,New York,40.7115,-74.0105,New Jersey,40.3485,-74.6515,67.55779413276719,0.24999999999040334
56,Georgia,33.7795,-84.4205,Georgia,33.7795,-84.4205,0.0,0.24999999999040334
73,Virginia,38.9475,-77.3715,Virginia,38.9475,-77.3715,0.0,-2.1183055309847987e-13
80,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,0.24999999999040368
83,California,37.7195,-122.3985,California,37.7195,-122.3985,0.0,0.24999999957653862
91,New Jersey,40.3485,-74.6515,New Jersey,40.3485,-74.6515,0.0,0.24999999957653896
92,Arizona,33.4215,-112.0125,Arizona,33.4215,-112.0125,0.0,5.474509734426647e-13
93,Georgia,33.7795,-84.4205,Georgia,33.7795,-84.4205,0.0,0.24999999999040323
