,FROM_CITY,FROM_LATITUDE,FROM_LONGITUDE,TO_CITY,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
0,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0,0.7407407405400915
1,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0,0.8688524588715256
2,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0,0.8666666664964308
3,Florida,25.7885,-80.2295,Florida,25.7885,-80.2295,0.0,0.8148148147603235
4,Florida,25.7885,-80.2295,Georgia,33.7795,-84.4205,976.0016391495011,0.7910447756990244
5,Florida,25.7885,-80.2295,Georgia,33.7795,-84.4205,976.0016391495011,0.7571428567316799
6,Florida,25.7885,-80.2295,Georgia,33.7795,-84.4205,976.0016391495011,0.7586206893976167
7,Florida,25.7885,-80.2295,North Carolina,35.3305,-81.8715,1072.5524900048451,0.8305084745063287
8,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8281249997175957
9,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.849999999851028
10,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.7464788727380745
11,Florida,25.7885,-80.2295,"Washington, D.C.",38.8995,-77.0205,1488.4225975871973,0.8518518514863176
12,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8281249998394755
13,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8813559321340564
14,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8153846149544214
15,Florida,25.7885,-80.2295,Pennsylvania,39.9585,-75.6095,1632.9723517549762,0.796296295919637
16,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.7761194026371818
17,Florida,25.7885,-80.2295,New York,40.7115,-74.0105,1755.9839984012556,0.76811594181535
18,Florida,25.7885,-80.2295,Pennsylvania,39.9585,-75.6095,1632.9723517549762,0.8281249996145889
19,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.828124999235586
20,Florida,25.7885,-80.2295,Virginia,38.9475,-77.3715,1487.3933795860755,0.8148148144440208
21,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.7361111109019761
22,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.7260273970036288
23,Florida,25.7885,-80.2295,New Jersey,40.3485,-74.6515,1699.395420609335,0.7903225802899501
24,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.7260273970036286
25,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.7361111109019752
26,Florida,25.7885,-80.2295,Texas,32.7975,-96.8195,1784.6916500544821,0.7333333330292391
27,Florida,25.7885,-80.2295,North Carolina,35.3305,-81.8715,1072.5524900048451,0.7407407398166874
28,Florida,25.7885,-80.2295,Massachusetts,42.3485,-71.0615,2022.7516455065243,0.8448275854517077
