,FROM_PROBE,FROM_CITY,FROM_STATE,FROM_LATITUDE,FROM_LONGITUDE,TO_PROBE,TO_CITY,TO_STATE,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
813,6208,St. George,Utah,"6208    37.0815
Name: latitude, dtype: object","6208   -113.623
Name: longitude, dtype: object",6259,Chicago,Illinois,"6259    41.8815
Name: latitude, dtype: object","6259   -87.6305
Name: longitude, dtype: object",2284.1497752217965,-0.27113906385237607
816,6208,St. George,Utah,"6208    37.0815
Name: latitude, dtype: object","6208   -113.623
Name: longitude, dtype: object",6280,Unknown,Illinois,"6280    41.9975
Name: latitude, dtype: object","6280   -87.9685
Name: longitude, dtype: object",2257.4693536506534,-0.29000698838312533
