,FROM_PROBE,FROM_CITY,FROM_STATE,FROM_LATITUDE,FROM_LONGITUDE,TO_PROBE,TO_CITY,TO_STATE,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
103,6373,Downtown Kansas City,Missouri,39.0985,-94.5795,6343,Chicago,Illinois,41.8485,-87.6205,663.0303036320976,-0.5530303033118729
143,6517,Unknown,Virginia,39.0205,-77.4625,6280,Unknown,Illinois,41.9975,-87.9685,947.0870377633812,-0.6014492758723018
149,6061,Dallas,Texas,32.7975,-96.8195,6572,Atlanta,Georgia,33.7485,-84.3895,1159.6877274783126,-1.07602339204312
170,6454,Atlanta,Georgia,33.7795,-84.4205,6259,Chicago,Illinois,41.8815,-87.6305,943.7799777099978,-0.6076923081543182
357,6557,Buffalo,New York,42.8905,-78.8805,6280,Unknown,Illinois,41.9975,-87.9685,751.9171614137844,-0.6666666671406389
412,6437,Dallas,Texas,32.7905,-96.7915,6066,Atlanta,Georgia,33.7705,-84.4195,1154.5273257947713,-1.0701754389487141
418,6265,Dallas,Texas,32.7795,-96.7995,6066,Atlanta,Georgia,33.7705,-84.4195,1155.4539747275705,-0.9149797571760345
