,14437,14445,17628,18033,18479,19466,19497,5.76.125.60,19649,19779,20021,20040,20111,20231,20311,20321,20961,2249,2250,22631,23723,30235,32030,32433,32473,32576,32578,32724,33001,33016,33020,33054,33190,33657,33676,33694,3372,33771,35511,4324,4485,50428,51498,51529,51590,6086,6258,6308,6311,645,6611,813
14437,0.27524000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14445,272.35495,0.741995,,,16.07664,24.04812,19.13108,,19.2585,25.24594,24.994925,13.6698,49.230815,27.514405,43.616685,22.09594,94.82181,51.02784,10.627275000000001,24.772755,94.851985,29.06947,12.145375,21.23787,26.611355,9.75134,23.642305,0.85455,26.34356,40.31947,,42.004475,25.631375,27.996785,21.21137,45.02734,45.487615,74.650405,23.495915,43.35848,26.42751,88.003575,94.31877,173.15077,209.030395,0.766355,213.854955,9.592185,38.61009,22.10975,87.59545,16.616265
51529,337.848875,173.747292,,,164.35,310.192208,171.445584,,160.851167,,225.570208,149.095792,158.438959,157.588542,183.960458,162.256125,159.314833,246.184625,231.50525,235.748375,242.838709,266.574833,180.824,239.214625,246.207334,238.591667,271.9765,259.422834,155.754,,328.539792,209.626875,177.973084,256.544916,242.794375,257.980208,258.736625,157.231334,185.755625,362.637625,180.034625,229.496125,226.521333,0.9777079999999999,3.034375,171.65625,1.269584,167.977625,138.47975,160.194958,330.555292,247.039
6086,278.872824,0.491527,57.140421,,16.149348,24.93735,12.863808,,26.80394,15.801891,23.50291,13.866909,27.237899,28.405579,20.569921,26.361242,98.188687,51.595197,10.501993,24.641117,96.6718,29.242221,12.345563,21.307094,26.786627,9.89,55.175275,0.679465,,40.01541,,38.980908,28.352111,28.200732,20.883384,45.245781,48.757009,74.6068,24.417375,46.760269,26.877748,87.079192,87.14425,171.24108,213.162307,0.44567399999999996,214.000279,9.666914,38.707504,19.689745,88.513162,16.611827
6258,481.613256,213.773907,,,208.710866,221.055519,194.878442,,205.585687,,,208.380968,199.466656,214.311465,,206.853734,201.736352,190.560758,200.66712,207.476242,266.114155,217.004033,216.869132,196.029546,211.424112,199.837772,212.229608,202.003362,202.112303,246.933156,233.893963,230.722615,213.089326,199.829716,204.50506,213.964504,187.708011,204.180721,215.209592,261.074763,209.27389,309.808723,305.915247,0.7358469999999999,2.300005,214.060259,0.541216,197.11597,192.867701,173.500955,296.989292,208.137127
6308,255.779842,9.490598,38.614416,,15.838457,33.349854,4.189491,,15.474945,8.004962,,5.259478,33.490995,19.024565,,17.644308,97.997143,28.645413,1.216776,16.016285,91.070826,16.455763,23.168369,21.032644,13.597235,1.311039,20.438651,9.512515,,40.559757,26.908748,34.040775,16.66421,27.912358,16.899667,25.38549,23.11436,97.854838,15.318139,30.843112,19.42553,73.9605,75.792171,167.49993,195.489579,9.755374,197.087773,0.204311,16.259059,16.539755,84.455977,16.499952
6311,231.967713,38.558158,,,24.679771,19.063941,18.428294,,25.953684,,34.142396,19.194868,36.965858,15.222377,40.141382,10.303016,100.807787,7.779103,17.07317,24.772114,101.489907,37.529846,38.093858,18.129197,35.553293,16.274774,31.26668,38.364617,,13.647182,,18.280719,25.271097,12.835244,25.531217,7.039308,10.429893,81.731532,31.292794,22.534599,11.043424,72.63854,81.671084,137.96397,179.115195,38.600411,192.894872,16.314712,0.325683,25.585311,84.286304,25.502803
10932,,44.153825,,,36.04898,69.31492,50.29043,,37.29354,,,61.04688,69.69178,61.10563,,69.12957,142.25874,58.82221,48.770375,35.58055,142.82211,42.225655,46.395875,35.729335,38.357425,51.73556,67.515605,42.118505,130.124505,,66.566995,53.995665,31.7142,42.768865,46.940725,63.006095,58.51105,109.445155,57.60463,91.154355,59.476275,119.637235,116.044435,209.107695,248.576595,44.077905,234.768335,49.617265,48.94643,32.964415,125.970305,26.72636
17628,,50.38727,0.682105,,43.655955,40.242985,33.039555,,53.09556,54.30925,64.23504,36.5363,67.455795,34.57065,57.16742,35.86599,111.168395,25.560655,40.09214,43.757515,111.84245,50.644575,56.88199,37.208865,51.81295,31.63531,89.019935,53.856285,21.07994,,27.51937,37.284,44.19038,40.145705,44.495685,28.68949,25.663205,102.46225,52.04573,2.8378,26.014065,95.538065,90.813765,347.272795,269.227475,57.47848,250.10674,38.902505,19.375065,44.33343,103.998915,47.77971
