,Google_Council Bluffs,Google_Moncks Corner,Google_Ashburn,Google_Portland,Google_Los Angeles,Google_Salt Lake City,Google_Las Vegas,Google_Montreal,Google_Saint-Ghislain,Google_London,Google_Frankfurt,Google_Het Hogeland,Google_Zurich,Google_Hamina,Google_Taipei,Google_Hong Kong,Google_Tokyo,Google_Osaka,Google_Seoul,Google_Singapore,Google_Jakarta,Google_Mumbai,Google_Sydney,Google_Sao Paulo
Google_Council Bluffs,0,1.5233207202271828,1.2662430152117032,1.1746687521893904,1.415755657719199,0.8110458695639053,0.8980319041533598,1.158701845356287,5.907734474643096,5.583236418844818,6.2805262208032,5.983225802450139,6.2805262208032,7.428032777795002,9.246151465552705,9.697153800576361,7.886360890415472,8.338312624123454,8.722388326040893,10.31623068691417,10.437119858558008,9.96334701145594,8.976792229871851,5.409494876462045
Google_Moncks Corner,1.5233207202271828,0,0.35784317864083093,2.693174234493153,2.4719483717904183,2.3682013842039993,2.23583586298162,0.7738431808334241,4.728005378058802,4.519242798575576,5.075959448454453,4.890678002986302,5.075959448454453,6.410115402538443,10.452992065382137,10.905435843874526,9.190097795284796,9.641751858909085,10.030030116345781,10.934721093633186,10.972632867965384,8.384596922375785,9.567887597817686,3.8648821835913907
Google_Ashburn,1.2662430152117032,0.35784317864083093,0,2.532095178439736,2.4553281462735974,2.1876127993589876,2.1174019065935568,0.3506117353042022,4.624685564968498,4.367988810466221,4.984011823738056,4.7517134032332216,4.984011823738056,6.247809774176142,10.49304749351322,10.944680023187203,9.186809971505348,9.638386329088664,10.024175761173165,11.057926814130765,11.112315936284594,8.483455720520574,9.801782209174062,4.273428965234482
Google_Portland,1.1746687521893904,2.693174234493153,2.532095178439736,0,0.700904044851633,0.31390688265685185,0.5006073058048877,2.477125202708404,7.297535012735683,6.960667631311646,7.6744383394432525,7.3652728559793434,7.6744383394432525,8.801879368228294,7.8661397435375635,8.317355767239114,6.496946147410565,6.9497555064017424,7.335166398404053,8.967330511867077,9.104196351214817,11.068468908918879,7.848606169775174,6.330665952278915
Google_Los Angeles,1.415755657719199,2.4719483717904183,2.4553281462735974,0.700904044851633,0,0.8632770155555178,0.577839730108483,2.55519432387862,7.352741166223517,7.06595278068267,7.7222971892833385,7.463099617249512,7.7222971892833385,8.955239785987914,7.760614233386176,8.215065304219795,6.452963255404823,6.907057694757503,7.297388648942932,8.769799442147916,8.878022485139908,10.965031260385473,7.439457216652525,5.786122225181025
Google_Salt Lake City,0.8110458695639053,2.3682013842039993,2.1876127993589876,0.31390688265685185,0.8632770155555178,0,0.31652615864136635,2.1221743151438694,6.9310510644422205,6.596448825372839,7.3071692663087155,7.0002055417988505,7.3071692663087155,8.4390184655635,8.242770878988845,8.694319183557406,6.874861168186867,7.327818452467826,7.713252193056741,9.337220094590403,9.470427059381933,10.989043547672686,8.165717495987826,6.084464555389678
Google_Las Vegas,0.8980319041533598,2.23583586298162,2.1174019065935568,0.5006073058048877,0.577839730108483,0.31652615864136635,0,2.1310069728664693,6.949561542810173,6.637706721906291,7.322808830909075,7.038445310892634,7.322808830909075,8.50450131934253,8.198993058926854,8.652581382180387,6.859043282919874,7.313170368307632,7.701498083241301,9.249664888942704,9.369002201655388,10.911929359714307,7.975291295894028,5.830191207503159
Google_Montreal,1.158701845356287,0.7738431808334241,0.3506117353042022,2.477125202708404,2.55519432387862,2.1221743151438694,2.1310069728664693,0,4.559214874901137,4.256310867499147,4.926466953714623,4.649410674530355,4.926466953714623,6.110767208692808,10.538753846767058,10.98804407290566,9.193380267458377,9.643462199719469,10.025349622407498,11.18532946912249,11.255339207760153,8.592396064843275,10.044140790821253,4.6704519626147025
Google_Saint-Ghislain,5.907734474643096,4.728005378058802,4.624685564968498,7.297535012735683,7.352741166223517,6.9310510644422205,6.949561542810173,4.559214874901137,0,0.5265928976367107,0.32456222105695787,0.31652805416369034,0.32456222105695787,1.8380432452493185,7.622043958849945,7.071817555924069,8.888009060876268,8.513596055737864,8.086577740738498,7.101342333399056,7.259423416328637,4.526112362714629,10.376644005572539,5.590974294834918
Google_London,5.583236418844818,4.519242798575576,4.367988810466221,6.960667631311646,7.06595278068267,6.596448825372839,6.637706721906291,4.256310867499147,0.5265928976367107,0,0.8357213621948265,0.32217228723195745,0.8357213621948265,1.9483909401298778,8.129549898879313,7.581647440405031,9.362271999878269,8.991664717855961,8.566514958938356,7.64295694538862,7.807160938525408,5.065742962843938,10.93490752400193,5.740272608722915
