,Amsterdam,Ashburn,Boydton,Des Moines,Dublin,Hong Kong,Johannesburg,London,Mumbai,Northlake,Quincy,Sao Paulo,Seoul,Singapore,Sydney,Tokyo,Toronto
Amsterdam,0,5.09785282860396,5.09785282860396,5.870375477186094,0.31219888123574613,6.998491119426528,5.26143776030042,0.31219888123574613,4.635923036001733,5.505878644357326,7.470950408963057,5.939333345493273,8.012162276471166,6.998211981649538,10.369042326647195,8.849009573040927,5.057151482157227
Ashburn,5.09785282860396,0,0,0.8353397860108167,4.831209019154176,10.47672937867725,7.208092695644456,4.831209019154176,8.651586389987672,0.5797665442772129,2.446078491546336,4.424178750837227,9.646006131791445,10.953154087477548,9.129283460457472,8.811431525193342,0.3273344691664022
Boydton,5.09785282860396,0,0,0.8353397860108167,4.831209019154176,10.47672937867725,7.208092695644456,4.831209019154176,8.651586389987672,0.5797665442772129,2.446078491546336,4.424178750837227,9.646006131791445,10.953154087477548,9.129283460457472,8.811431525193342,0.3273344691664022
Des Moines,5.870375477186094,0.8353397860108167,0.8353397860108167,0,5.5931996957442465,9.733403307790658,8.20272723429841,5.5931996957442465,9.62721151787268,0.32204381770413093,1.6019885533426965,5.253821764595866,8.840715349798806,10.3113712477553,8.73510304100349,8.007263953126714,0.6838494683551737
Dublin,0.31219888123574613,4.831209019154176,4.831209019154176,5.5931996957442465,0,7.316478483809309,5.365911921810667,0,4.912406164938098,5.228819439515876,7.188073652687194,5.793824873433127,8.344912779918152,7.286593567195071,10.643785576559011,9.182686701742178,4.781677809837074
Hong Kong,6.998491119426528,10.47672937867725,10.47672937867725,9.733403307790658,7.316478483809309,0,5.887802425689229,7.316478483809309,2.58110259187597,10.097295246700824,8.206838885849015,9.747957873422617,1.220525016147258,1.3580754955474799,4.072512943935814,1.9508427629291223,10.536780356116138
Johannesburg,5.26143776030042,7.208092695644456,7.208092695644456,8.20272723429841,5.365911921810667,5.887802425689229,0,5.365911921810667,3.4164522621802877,7.903530675260879,9.86233918884906,3.969698476318838,7.211686536510918,4.820484477602913,7.006295235706161,7.96883978313111,7.512350634679594
London,0.31219888123574613,4.831209019154176,4.831209019154176,5.5931996957442465,0,7.316478483809309,5.365911921810667,0,4.912406164938098,5.228819439515876,7.188073652687194,5.793824873433127,8.344912779918152,7.286593567195071,10.643785576559011,9.182686701742178,4.781677809837074
Mumbai,4.635923036001733,8.651586389987672,8.651586389987672,9.62721151787268,4.912406164938098,2.58110259187597,3.4164522621802877,4.912406164938098,0,9.276422669214778,10.876013500995425,6.945894198287047,3.7999726990344316,2.2162148159713055,5.439937681634436,4.6444743518609295,8.822297976537332
Northlake,5.505878644357326,0.5797665442772129,0.5797665442772129,0.32204381770413093,5.228819439515876,10.097295246700824,7.903530675260879,5.228819439515876,9.276422669214778,0,1.9612655554660705,5.07578083457974,9.209228218841485,10.66262830703639,9.031304797974721,8.376371260472158,0.3161518401522052
Quincy,7.470950408963057,2.446078491546336,2.446078491546336,1.6019885533426965,7.188073652687194,8.206838885849015,9.86233918884906,7.188073652687194,10.876013500995425,1.9612655554660705,0,6.579639114617243,7.242313513491845,8.922264828967648,7.785696323695676,6.412958398714403,2.319392509408523
Sao Paulo,5.939333345493273,4.424178750837227,4.424178750837227,5.253821764595866,5.793824873433127,9.747957873422617,3.969698476318838,5.793824873433127,6.945894198287047,5.07578083457974,6.579639114617243,0,11.15361654517518,8.828631013371394,9.545813754201708,11.245798498213688,4.830602091334578
Seoul,8.012162276471166,9.646006131791445,9.646006131791445,8.840715349798806,8.344912779918152,1.220525016147258,7.211686536510918,8.344912779918152,3.7999726990344316,9.209228218841485,7.242313513491845,11.15361654517518,0,2.556953270264221,4.58487412515343,0.8297523893215804,9.657590125386879
Singapore,6.998211981649538,10.953154087477548,10.953154087477548,10.3113712477553,7.286593567195071,1.3580754955474799,4.820484477602913,7.286593567195071,2.2162148159713055,10.66262830703639,8.922264828967648,8.828631013371394,2.556953270264221,0,3.214495355825755,3.098392223409064,11.081967785753992
Sydney,10.369042326647195,9.129283460457472,9.129283460457472,8.73510304100349,10.643785576559011,4.072512943935814,7.006295235706161,10.643785576559011,5.439937681634436,9.031304797974721,7.785696323695676,9.545813754201708,4.58487412515343,3.214495355825755,0,4.393082165154792,9.374870967441101
Tokyo,8.849009573040927,8.811431525193342,8.811431525193342,8.007263953126714,9.182686701742178,1.9508427629291223,7.96883978313111,9.182686701742178,4.6444743518609295,8.376371260472158,6.412958398714403,11.245798498213688,0.8297523893215804,3.098392223409064,4.393082165154792,0,8.825952373507079
Toronto,5.057151482157227,0.3273344691664022,0.3273344691664022,0.6838494683551737,4.781677809837074,10.536780356116138,7.512350634679594,4.781677809837074,8.822297976537332,0.3161518401522052,2.319392509408523,4.830602091334578,9.657590125386879,11.081967785753992,9.374870967441101,8.825952373507079,0
