,AWS_Portland,AWS_Ashburn,AWS_Columbus,AWS_Dublin,AWS_Frankfurt am Main,AWS_London,AWS_Montreal,AWS_Mumbai,AWS_Paris,AWS_San Francisco,AWS_Sao Paulo,AWS_Seoul,AWS_Singapore,AWS_Stockholm,AWS_Sydney,AWS_Tokyo,AWS_Bahrain,AWS_Osaka,AWS_Beijing,AWS_Ningxia,AWS_Charlotte,AWS_Los Angeles
AWS_Portland,0,2.696065309359266,2.321944147459547,7.6063712658118945,8.359765222979957,7.6063712658118945,2.7001790251357853,10.682866596451902,8.033272703724023,0.34592963297822976,6.1339174066809825,6.860578642865237,8.636118355964701,8.752860045378,7.233044252259183,6.084330922561618,10.334927571070857,6.448319322624977,7.796104645171211,8.231611382943822,2.321944147459547,0.7699780425129745
AWS_Ashburn,2.696065309359266,0,0.331765100515625,5.204954230478215,5.925258931058769,5.204954230478215,0.29182482299152923,9.65624243294748,5.597626236483018,2.681176968769904,4.860503827451284,9.547237270227969,11.19372007756126,6.46067128944231,9.331991510106707,8.767189650585898,7.9083966292019525,9.13299767733345,10.48830932274861,10.924486837393507,0.331765100515625,2.7573979725345374
AWS_Columbus,2.321944147459547,0.331765100515625,0,5.57135113418577,6.28936830991031,5.57135113418577,0.5340102875097195,9.993332707397904,5.962257356314117,2.308288928135319,4.967760129759199,9.179243468581493,10.835566871646893,6.824053663966016,9.016912518297891,8.399213747707847,8.247618235922129,8.764999300927034,10.120282499869184,10.556520487978329,0,2.4036337914444452
AWS_Dublin,7.6063712658118945,5.204954230478215,5.57135113418577,0,0.8754402938087438,0,5.1658618795899915,5.241375897190332,0.5499070067423446,7.664379082456126,5.994969219332907,8.129160903272314,7.2938734750963485,1.4942376745562704,10.862582076754546,8.993645386431265,3.569956949829855,8.627997258922278,6.990242450725456,6.551271261201471,5.57135113418577,7.72641898285047
AWS_Frankfurt am Main,8.359765222979957,5.925258931058769,6.28936830991031,0.8754402938087438,0,0.8754402938087438,5.915976729127326,4.338930465219933,0.3166880013301707,8.376227829345686,6.119331705169509,7.273697857544623,6.387099139830482,1.3641675059910128,9.963444912168649,8.141029271455633,2.6893959374308327,7.773688664956207,6.1358890567875575,5.6945349800413645,6.28936830991031,8.394875252129111
AWS_London,7.6063712658118945,5.204954230478215,5.57135113418577,0,0.8754402938087438,0,5.1658618795899915,5.241375897190332,0.5499070067423446,7.664379082456126,5.994969219332907,8.129160903272314,7.2938734750963485,1.4942376745562704,10.862582076754546,8.993645386431265,3.569956949829855,8.627997258922278,6.990242450725456,6.551271261201471,5.57135113418577,7.72641898285047
AWS_Montreal,2.7001790251357853,0.29182482299152923,0.5340102875097195,5.1658618795899915,5.915976729127326,5.1658618795899915,0,9.742084477410106,5.586194819583831,2.750888233301083,5.153784383258701,9.583160452628428,11.29521975278271,6.381563366071093,9.523632556690908,8.804624268084357,7.988380191163822,9.169886566921887,10.520386449451335,10.956097752135209,0.5340102875097195,2.889328051231029
AWS_Mumbai,10.682866596451902,9.65624243294748,9.993332707397904,5.241375897190332,4.338930465219933,5.241375897190332,9.742084477410106,0,4.668036624516814,10.608518966501327,7.689545262256955,3.9145247498094253,2.18821118000732,4.709922125747395,5.793318363313974,4.712765254437269,1.4283149571606018,4.345335656066341,3.0014199840753157,2.6473459786045463,9.993332707397904,10.548383775579218
AWS_Paris,8.033272703724023,5.597626236483018,5.962257356314117,0.5499070067423446,0.3166880013301707,0.5499070067423446,5.586194819583831,4.668036624516814,0,8.052748980147657,5.919135501759525,7.657694972509307,6.725426703512749,1.5179026759629188,10.276356031467596,8.52511914150235,2.9910394495765065,8.157768968123259,6.519462566335213,6.077472396111908,5.962257356314117,8.076044860212491
AWS_San Francisco,0.34592963297822976,2.681176968769904,2.308288928135319,7.664379082456126,8.376227829345686,7.664379082456126,2.750888233301083,10.608518966501327,8.052748980147657,0,5.754492205770006,6.849903606415462,8.512659835643227,8.875616372368647,6.956230368092291,6.071149754628143,10.208552245463615,6.436067616850147,7.791297166381153,8.227229114574772,2.308288928135319,0.35178815469368985
AWS_Sao Paulo,6.1339174066809825,4.860503827451284,4.967760129759199,5.994969219332907,6.119331705169509,5.994969219332907,5.153784383258701,7.689545262256955,5.919135501759525,5.754492205770006,0,11.547725568807598,9.220744722163335,7.392725096538488,9.525774139296471,11.15676635098804,6.329970537989954,11.495888679268477,10.585132296496546,10.196760412945046,4.967760129759199,5.398227704420735
AWS_Seoul,6.860578642865237,9.547237270227969,9.179243468581493,8.129160903272314,7.273697857544623,8.129160903272314,9.583160452628428,3.9145247498094253,7.657694972509307,6.849903606415462,11.547725568807598,0,2.5279092765077547,7.011197091012955,4.638819827728682,0.7745117040858691,5.030361545302835,0.38563785425584207,0.8658295588974791,1.302196217294874,9.179243468581493,6.864217351947633
AWS_Singapore,8.636118355964701,11.19372007756126,10.835566871646893,7.2938734750963485,6.387099139830482,7.2938734750963485,11.29521975278271,2.18821118000732,6.725426703512749,8.512659835643227,9.220744722163335,2.5279092765077547,0,6.637628120843666,3.629197336273979,3.082024173271586,3.679982301599889,2.813039121379978,2.190526396695663,2.1514085786200443,10.835566871646893,8.406602972208542
AWS_Stockholm,8.752860045378,6.46067128944231,6.824053663966016,1.4942376745562704,1.3641675059910128,1.4942376745562704,6.381563366071093,4.709922125747395,1.5179026759629188,8.875616372368647,7.392725096538488,7.011197091012955,6.637628120843666,0,10.344304613247264,7.860368988589889,3.270801427068463,7.50208600418034,5.8865441952766595,5.465065132871814,6.824053663966016,8.994697734736745
AWS_Sydney,7.233044252259183,9.331991510106707,9.016912518297891,10.862582076754546,9.963444912168649,10.862582076754546,9.523632556690908,5.793318363313974,10.276356031467596,6.956230368092291,9.525774139296471,4.638819827728682,3.629197336273979,10.344304613247264,0,4.465302236664333,7.124678879701574,4.531075702052274,5.082804821217216,5.304027100132069,9.016912518297891,6.689669687658521
AWS_Tokyo,6.084330922561618,8.767189650585898,8.399213747707847,8.993645386431265,8.141029271455633,8.993645386431265,8.804624268084357,4.712765254437269,8.52511914150235,6.071149754628143,11.15676635098804,0.7745117040858691,3.082024173271586,7.860368988589889,4.465302236664333,0,5.882063511863086,0.3350762046747775,1.7394131152767027,2.177543188206956,8.399213747707847,6.086972097592293
AWS_Bahrain,10.334927571070857,7.9083966292019525,8.247618235922129,3.569956949829855,2.6893959374308327,3.569956949829855,7.988380191163822,1.4283149571606018,2.9910394495765065,10.208552245463615,6.329970537989954,5.030361545302835,3.679982301599889,3.270801427068463,7.124678879701574,5.882063511863086,0,5.494633266835562,4.0627361373259205,3.6570948247845507,8.247618235922129,10.086157607611247
AWS_Osaka,6.448319322624977,9.13299767733345,8.764999300927034,8.627997258922278,7.773688664956207,8.627997258922278,9.169886566921887,4.345335656066341,8.157768968123259,6.436067616850147,11.495888679268477,0.38563785425584207,2.813039121379978,7.50208600418034,4.531075702052274,0.3350762046747775,5.494633266835562,0,1.3404208441731598,1.7796843683217958,8.764999300927034,6.450962985827916
AWS_Beijing,7.796104645171211,10.48830932274861,10.120282499869184,6.990242450725456,6.1358890567875575,6.990242450725456,10.520386449451335,3.0014199840753157,6.519462566335213,7.791297166381153,10.585132296496546,0.8658295588974791,2.190526396695663,5.8865441952766595,5.082804821217216,1.7394131152767027,4.0627361373259205,1.3404208441731598,0,0.33979764105639987,10.120282499869184,7.807467328159295
AWS_Ningxia,8.231611382943822,10.924486837393507,10.556520487978329,6.551271261201471,5.6945349800413645,6.551271261201471,10.956097752135209,2.6473459786045463,6.077472396111908,8.227229114574772,10.196760412945046,1.302196217294874,2.1514085786200443,5.465065132871814,5.304027100132069,2.177543188206956,3.6570948247845507,1.7796843683217958,0.33979764105639987,0,10.556520487978329,8.242458891292955
AWS_Charlotte,2.321944147459547,0.331765100515625,0,5.57135113418577,6.28936830991031,5.57135113418577,0.5340102875097195,9.993332707397904,5.962257356314117,2.308288928135319,4.967760129759199,9.179243468581493,10.835566871646893,6.824053663966016,9.016912518297891,8.399213747707847,8.247618235922129,8.764999300927034,10.120282499869184,10.556520487978329,0,2.4036337914444452
